!  ANO-RCC  EMSL  Basis Set Exchange Library   11/15/09 1:09 PM
! Elements                             References
! --------                             ----------
! H He: P.-O. Widmark, P.-Å. Malmqvist, and B. O. Roos, Density-matrix averaged atomic natural orbital (ANO) basis-sets for correlated molecular wave-functions 1: 1st row atoms., Theor. Chim. Acta 77, 291-306 (1990).
! Li Be Na Mg K Ca Rb Sr Cs Ba Fr Ra: O. Roos, V. Veryazov and P.-O. Widmark, Relativistic atomic natural orbital type basis sets for the alkaline and alkaline-earth atoms applied to the ground-state potentials for the corresponding dimers., Theor. Chem. Acc. 111, 345-351 (2003).
! B C N O F Ne Al Si P S Cl Ar Ga Ge As Se Br Kr In Sn Sb Te I Xe Tl Pb Bi Po At Rn: B. O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, Main group atoms and dimers studied with a new relativistic ANO basis set, J. Phys. Chem. A 108, 2851 (2005).
! Sc Ti V Cr Mn Fe Co Ni Cu Zn Y Zr Nb Mo Tc Ru Rh Pd Ag Cd Hf Ta W Re Os Ir Pt Au Hg: . O. Roos, R. Lindh and P.-Å. Malmqvist, V. Veryazov and P.-O. Widmark, New relativistic ANO basis sets for transition metal atoms, J. Phys. Chem. A 109, 6575-6579 (2005).
! Ac Th Pa U Np Pu Am Cm: B.O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, New relativistic ANO basis sets for actinide atoms, Chem. Phys. Letters 409, 295-299 (2005).
! La Ce Pr Nd Pm Sm Eu Gd Tb Dy Ho Er Tm Yb Lu: B. O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, New Relativistic atomic natural orbital basis sets for lanthanide atoms with applications to the Ce diatomic abd LuF3, Phys. Chem. A 112, 11431-11435 (2008).
! 



RADON
S   25
  1 53906998.6000000015         0.00155447       
  2 13211335.6999999993         0.00176879       
  3 3995976.0200000000          0.00470629       
  4 1310099.7900000000          0.00795926       
  5 459557.0100000000           0.01594307       
  6 169508.8060000000           0.02855539       
  7  65334.4502000000           0.05310453       
  8  26060.0349000000           0.09552313       
  9  10666.9209000000           0.16970250       
 10   4472.0875900000           0.27013325       
 11   1927.3230800000           0.32983216       
 12    855.0122570000           0.21631955       
 13    388.8506910000           0.04005715       
 14    184.0955810000           0.00088783       
 15     89.9567167000          -0.00054980       
 16     45.1104152000           0.00051626       
 17     22.6717944000          -0.00043267       
 18     11.2571232000           0.00029467       
 19      5.5589018200          -0.00016645       
 20      2.5475766100           0.00008357       
 21      1.1367896700          -0.00004003       
 22      0.4509534200           0.00001735       
 23      0.1638694300          -0.00000844       
 24      0.0655477700           0.00000421       
 25      0.0262191100          -0.00000124       
S   25
  1 53906998.6000000015        -0.00062410       
  2 13211335.6999999993        -0.00071184       
  3 3995976.0200000000         -0.00189697       
  4 1310099.7900000000         -0.00322456       
  5 459557.0100000000          -0.00650249       
  6 169508.8060000000          -0.01179468       
  7  65334.4502000000          -0.02235724       
  8  26060.0349000000          -0.04157164       
  9  10666.9209000000          -0.07795523       
 10   4472.0875900000          -0.13653736       
 11   1927.3230800000          -0.19185629       
 12    855.0122570000          -0.10831079       
 13    388.8506910000           0.29735931       
 14    184.0955810000           0.59809384       
 15     89.9567167000           0.25275270       
 16     45.1104152000           0.01384073       
 17     22.6717944000           0.00091251       
 18     11.2571232000          -0.00043339       
 19      5.5589018200           0.00004008       
 20      2.5475766100           0.00000819       
 21      1.1367896700           0.00000016       
 22      0.4509534200           0.00000166       
 23      0.1638694300          -0.00000142       
 24      0.0655477700           0.00000065       
 25      0.0262191100          -0.00000020       
S   25
  1 53906998.6000000015         0.00030220       
  2 13211335.6999999993         0.00034482       
  3 3995976.0200000000          0.00091918       
  4 1310099.7900000000          0.00156375       
  5 459557.0100000000           0.00315718       
  6 169508.8060000000           0.00573840       
  7  65334.4502000000           0.01091498       
  8  26060.0349000000           0.02040673       
  9  10666.9209000000           0.03865471       
 10   4472.0875900000           0.06886180       
 11   1927.3230800000           0.09962539       
 12    855.0122570000           0.05314213       
 13    388.8506910000          -0.23633819       
 14    184.0955810000          -0.62408157       
 15     89.9567167000          -0.17656770       
 16     45.1104152000           0.84927183       
 17     22.6717944000           0.49781280       
 18     11.2571232000           0.02378444       
 19      5.5589018200           0.00688129       
 20      2.5475766100          -0.00318511       
 21      1.1367896700           0.00135004       
 22      0.4509534200          -0.00059946       
 23      0.1638694300           0.00029754       
 24      0.0655477700          -0.00014728       
 25      0.0262191100           0.00004341       
S   25
  1 53906998.6000000015        -0.00015431       
  2 13211335.6999999993        -0.00017609       
  3 3995976.0200000000         -0.00046941       
  4 1310099.7900000000         -0.00079883       
  5 459557.0100000000          -0.00161303       
  6 169508.8060000000          -0.00293409       
  7  65334.4502000000          -0.00558316       
  8  26060.0349000000          -0.01046037       
  9  10666.9209000000          -0.01984042       
 10   4472.0875900000          -0.03556633       
 11   1927.3230800000          -0.05164616       
 12    855.0122570000          -0.02755183       
 13    388.8506910000           0.13772143       
 14    184.0955810000           0.38614646       
 15     89.9567167000           0.11448087       
 16     45.1104152000          -0.96664074       
 17     22.6717944000          -0.63954948       
 18     11.2571232000           0.99837920       
 19      5.5589018200           0.63085311       
 20      2.5475766100           0.01446451       
 21      1.1367896700           0.00732855       
 22      0.4509534200          -0.00297929       
 23      0.1638694300           0.00142269       
 24      0.0655477700          -0.00072730       
 25      0.0262191100           0.00021454       
S   25
  1 53906998.6000000015         0.00007246       
  2 13211335.6999999993         0.00008269       
  3 3995976.0200000000          0.00022045       
  4 1310099.7900000000          0.00037515       
  5 459557.0100000000           0.00075766       
  6 169508.8060000000           0.00137809       
  7  65334.4502000000           0.00262371       
  8  26060.0349000000           0.00491507       
  9  10666.9209000000           0.00933519       
 10   4472.0875900000           0.01673508       
 11   1927.3230800000           0.02439376       
 12    855.0122570000           0.01285988       
 13    388.8506910000          -0.06654200       
 14    184.0955810000          -0.19174434       
 15     89.9567167000          -0.05525596       
 16     45.1104152000           0.55504253       
 17     22.6717944000           0.40371599       
 18     11.2571232000          -0.93973433       
 19      5.5589018200          -0.88497235       
 20      2.5475766100           1.04210501       
 21      1.1367896700           0.64840890       
 22      0.4509534200          -0.00957021       
 23      0.1638694300           0.01318020       
 24      0.0655477700          -0.00659469       
 25      0.0262191100           0.00197207       
S   25
  1 53906998.6000000015        -0.00002814       
  2 13211335.6999999993        -0.00003211       
  3 3995976.0200000000         -0.00008560       
  4 1310099.7900000000         -0.00014565       
  5 459557.0100000000          -0.00029422       
  6 169508.8060000000          -0.00053501       
  7  65334.4502000000          -0.00101911       
  8  26060.0349000000          -0.00190787       
  9  10666.9209000000          -0.00362817       
 10   4472.0875900000          -0.00649451       
 11   1927.3230800000          -0.00949976       
 12    855.0122570000          -0.00494002       
 13    388.8506910000           0.02586464       
 14    184.0955810000           0.07569249       
 15     89.9567167000           0.02067952       
 16     45.1104152000          -0.22287466       
 17     22.6717944000          -0.17265633       
 18     11.2571232000           0.43469538       
 19      5.5589018200           0.43618855       
 20      2.5475766100          -0.71506127       
 21      1.1367896700          -0.70558553       
 22      0.4509534200           0.80154495       
 23      0.1638694300           0.68656503       
 24      0.0655477700          -0.01624448       
 25      0.0262191100           0.01522176       
S   25
  1 53906998.6000000015         0.00003781       
  2 13211335.6999999993         0.00004316       
  3 3995976.0200000000          0.00011501       
  4 1310099.7900000000          0.00019588       
  5 459557.0100000000           0.00039508       
  6 169508.8060000000           0.00072023       
  7  65334.4502000000           0.00136638       
  8  26060.0349000000           0.00257477       
  9  10666.9209000000           0.00484775       
 10   4472.0875900000           0.00881748       
 11   1927.3230800000           0.01253273       
 12    855.0122570000           0.00732232       
 13    388.8506910000          -0.03685678       
 14    184.0955810000          -0.09731984       
 15     89.9567167000          -0.04040094       
 16     45.1104152000           0.33745215       
 17     22.6717944000           0.17669416       
 18     11.2571232000          -0.53025436       
 19      5.5589018200          -0.85687523       
 20      2.5475766100           1.89677273       
 21      1.1367896700          -0.00623531       
 22      0.4509534200          -2.24639039       
 23      0.1638694300           1.36660498       
 24      0.0655477700           0.30691091       
 25      0.0262191100           0.02471617       
S   25
  1 53906998.6000000015        -0.00005383       
  2 13211335.6999999993        -0.00006146       
  3 3995976.0200000000         -0.00016371       
  4 1310099.7900000000         -0.00027892       
  5 459557.0100000000          -0.00056230       
  6 169508.8060000000          -0.00102594       
  7  65334.4502000000          -0.00194382       
  8  26060.0349000000          -0.00367100       
  9  10666.9209000000          -0.00689032       
 10   4472.0875900000          -0.01259856       
 11   1927.3230800000          -0.01775532       
 12    855.0122570000          -0.01072026       
 13    388.8506910000           0.05370545       
 14    184.0955810000           0.13851576       
 15     89.9567167000           0.06092223       
 16     45.1104152000          -0.51474369       
 17     22.6717944000          -0.22639948       
 18     11.2571232000           0.85987535       
 19      5.5589018200           1.41881704       
 20      2.5475766100          -4.78161353       
 21      1.1367896700           4.74017032       
 22      0.4509534200          -1.55705002       
 23      0.1638694300          -1.34105574       
 24      0.0655477700           1.59923362       
 25      0.0262191100          -0.10182930       
S   25
  1 53906998.6000000015         0.00005215       
  2 13211335.6999999993         0.00005938       
  3 3995976.0200000000          0.00015890       
  4 1310099.7900000000          0.00026888       
  5 459557.0100000000           0.00054807       
  6 169508.8060000000           0.00098219       
  7  65334.4502000000           0.00191624       
  8  26060.0349000000           0.00345473       
  9  10666.9209000000           0.00696462       
 10   4472.0875900000           0.01137239       
 11   1927.3230800000           0.01958251       
 12    855.0122570000           0.00374876       
 13    388.8506910000          -0.03389068       
 14    184.0955810000          -0.18669209       
 15     89.9567167000           0.06956885       
 16     45.1104152000           0.24025988       
 17     22.6717944000           0.79059238       
 18     11.2571232000          -2.12854585       
 19      5.5589018200           0.56908081       
 20      2.5475766100           3.38540500       
 21      1.1367896700          -5.89674839       
 22      0.4509534200           5.84340462       
 23      0.1638694300          -4.60261285       
 24      0.0655477700           2.06198456       
 25      0.0262191100           0.14764259       
S   25
  1 53906998.6000000015        -0.00007846       
  2 13211335.6999999993        -0.00008872       
  3 3995976.0200000000         -0.00024002       
  4 1310099.7900000000         -0.00039958       
  5 459557.0100000000          -0.00083617       
  6 169508.8060000000          -0.00143504       
  7  65334.4502000000          -0.00300058       
  8  26060.0349000000          -0.00483071       
  9  10666.9209000000          -0.01151098       
 10   4472.0875900000          -0.01412070       
 11   1927.3230800000          -0.03795875       
 12    855.0122570000           0.01806373       
 13    388.8506910000          -0.01356546       
 14    184.0955810000           0.46760618       
 15     89.9567167000          -0.56980162       
 16     45.1104152000           0.57795022       
 17     22.6717944000          -3.21474657       
 18     11.2571232000           8.01092442       
 19      5.5589018200          -9.78485886       
 20      2.5475766100           7.15482534       
 21      1.1367896700          -3.22096623       
 22      0.4509534200           0.08237544       
 23      0.1638694300           2.14818446       
 24      0.0655477700          -3.35199074       
 25      0.0262191100           2.10190072       
S   25
  1 53906998.6000000015         0.00009848       
  2 13211335.6999999993         0.00011176       
  3 3995976.0200000000          0.00030058       
  4 1310099.7900000000          0.00050489       
  5 459557.0100000000           0.00104168       
  6 169508.8060000000           0.00183041       
  7  65334.4502000000           0.00368817       
  8  26060.0349000000           0.00631428       
  9  10666.9209000000           0.01377332       
 10   4472.0875900000           0.01976988       
 11   1927.3230800000           0.04210785       
 12    855.0122570000          -0.00686899       
 13    388.8506910000          -0.02941767       
 14    184.0955810000          -0.47865488       
 15     89.9567167000           0.44796099       
 16     45.1104152000           0.00049077       
 17     22.6717944000           2.61915745       
 18     11.2571232000          -8.59932911       
 19      5.5589018200          12.29778062       
 20      2.5475766100         -11.41964931       
 21      1.1367896700           8.38026752       
 22      0.4509534200          -5.68477753       
 23      0.1638694300           4.81904064       
 24      0.0655477700          -4.13675776       
 25      0.0262191100           1.97624470       
P   22
  1 21090913.8999999985         0.00003895       
  2 4082174.2100000000          0.00009586       
  3 973721.9970000000           0.00027444       
  4 265310.9810000000           0.00073385       
  5  80164.2905000000           0.00201969       
  6  26485.3572000000           0.00567196       
  7   9521.0695700000           0.01619202       
  8   3709.8692400000           0.04559664       
  9   1553.3422500000           0.11897608       
 10    689.8806210000           0.25736221       
 11    320.9769110000           0.38454690       
 12    154.6719870000           0.29789884       
 13     74.9238811000           0.07692494       
 14     37.7853013000           0.00062933       
 15     18.9446130000           0.00106748       
 16      9.3838088100          -0.00066777       
 17      4.5945101400           0.00029743       
 18      2.0994701000          -0.00012896       
 19      0.9422822400           0.00005674       
 20      0.3179596800          -0.00001877       
 21      0.1064588500           0.00000855       
 22      0.0425835400          -0.00000320       
P   22
  1 21090913.8999999985        -0.00002034       
  2 4082174.2100000000         -0.00005011       
  3 973721.9970000000          -0.00014371       
  4 265310.9810000000          -0.00038529       
  5  80164.2905000000          -0.00106518       
  6  26485.3572000000          -0.00300912       
  7   9521.0695700000          -0.00868503       
  8   3709.8692400000          -0.02485539       
